kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
本屋,ほんや,honya,bookstore,"[""bookshop""]","[""bookstore"",""bookshop""]",noun,2,"[""shop"",""books""]"
〜屋,〜や,~ya,store,"[""shop""]","[""store"",""shop""]",suffix,2,"[""shop"",""suffix""]"
乗り場,のりば,noriba,"a fixed place to catch taxis,train,etc","[""platform"",""stop""]","[""platform"",""station"",""stop""]",noun,3,"[""transport"",""station""]"
県,けん,ken,prefecture,"[""province""]","[""prefecture"",""province""]",noun,2,"[""geography"",""administration""]"
上,うえ,ue,"on,above,over","[""on top"",""over""]","[""above"",""over"",""top""]",noun,1,"[""position"",""location""]"
下,した,shita,"below,beneath,under","[""under"",""beneath""]","[""below"",""under""]",noun,1,"[""position"",""location""]"
前,まえ,mae,front,"[""before"",""ahead""]","[""front"",""before""]",noun,1,"[""position"",""time""]"
後ろ,うしろ,ushiro,back,"[""behind"",""rear""]","[""back"",""behind""]",noun,1,"[""position"",""location""]"
右,みぎ,migi,right,"[""right side""]","[""right"",""right side""]",noun,1,"[""direction"",""position""]"
左,ひだり,hidari,left,"[""left side""]","[""left"",""left side""]",noun,1,"[""direction"",""position""]"
中,なか,naka,inside,"[""middle"",""interior""]","[""inside"",""middle""]",noun,1,"[""position"",""location""]"
外,そと,soto,outside,"[""exterior"",""outdoors""]","[""outside"",""outdoors""]",noun,1,"[""position"",""location""]"
隣,となり,tonari,next door,"[""neighboring""]","[""next"",""adjacent""]",noun,2,"[""position"",""neighbor""]"
近く,ちかく,chikaku,nearby,"[""vicinity"",""close""]","[""near"",""nearby"",""vicinity""]",noun,2,"[""distance"",""location""]"
間,あいだ,aida,between,"[""among"",""interval""]","[""between"",""among""]",noun,2,"[""position"",""relation""]"
〜や〜など,〜や〜など,~ya~nado,and so on,"[""etcetera""]","[""etc"",""and others""]",expression,2,"[""grammar"",""listing""]"
一番〜,いちばん〜,ichiban~,the most,"[""number one"",""best""]","[""most"",""best""]",adverb,2,"[""comparison"",""grammar""]"
一段目,いちだんめ,ichidanme,first shelf,"[""first level"",""first row""]","[""first row"",""top shelf""]",noun,3,"[""counter"",""position""]"
どうもすみません,どうもすみません,doumo sumimasen,thank you,"[""sorry"",""many thanks""]","[""thanks"",""sorry""]",expression,2,"[""expression"",""polite""]"
チリソース,チリソース,chirisoosu,chili sauce,"[""hot sauce""]","[""chili sauce"",""hot sauce""]",noun,2,"[""food"",""condiment""]"
奥,おく,oku,the back,"[""deep inside""]","[""back"",""rear""]",noun,2,"[""position"",""location""]"
スパイス・コーナー,スパイス・コーナー,supaisu koonaa,spice corner,"[""spice section""]","[""spice area"",""spice section""]",noun,3,"[""shop"",""food""]"
東京ディズニーランド,とうきょうディズニーランド,toukyou dizuniirando,Tokyo Disneyland,"[""Disney park in Tokyo""]","[""theme park"",""Disneyland""]",proper noun,3,"[""place"",""entertainment""]"
ユニーヤ・ストア,ユニーヤ・ストア,yuniya sutoa,fictitious supermarket,"[""sample store name""]","[""supermarket"",""store""]",proper noun,2,"[""shop"",""example""]"
