※グラハム・ベル,ぐらはむ・べる,Gurahamu Beru,Alexander Graham Bell,"[""Alexander Graham Bell"",""American inventor""]","[""電話の発明者""]",proper_noun,1,"[""people"",""history""]"
※東照宮,とうしょうぐう,Toushouguu,Toshogu Shrine,"[""Toshogu Shrine"",""shrine dedicated to Tokugawa Ieyasu""]","[""日光東照宮""]",proper_noun,2,"[""place"",""shrine""]"
※江戸時代,えどじだい,Edo jidai,Edo Period,"[""Edo Period""]","[""徳川時代""]",noun,2,"[""time"",""history""]"
※サウジアラビア,さうじあらびあ,Sauji Arabia,Saudi Arabia,"[""Saudi Arabia""]","[""サウジ""]",proper_noun,1,"[""location"",""country""]"
埋め立てます,うめたてます,umetatemasu,reclaim,"[""reclaim"",""reclaim land""]","[""造成する""]",verb_group_2,3,"[""action"",""transitive""]"
技術,ぎじゅつ,gijutsu,technology,"[""technology"",""technique""]","[""スキル""]",noun,2,"[""abstract"",""industry""]"
土地,とち,tochi,land,"[""land"",""ground""]","[""敷地""]",noun,2,"[""place""]"
騒音,そうおん,souon,noise,"[""noise""]","[""雑音""]",noun,2,"[""description""]"
利用します,りようします,riyoushimasu,use,"[""use"",""utilize""]","[""使う"",""活用する""]",verb_group_3,2,"[""action""]"
アクセス,あくせす,akusesu,access,"[""access""]","[""接続""]",noun,1,"[""technology""]"
－世紀,－せいき,-seiki,-th century,"[""-th century""]","[""－百年間""]",suffix,2,"[""time""]"
豪華［な］,ごうか,gouka,gorgeous,"[""gorgeous"",""luxurious""]","[""華やか""]",na_adjective,2,"[""description""]"
彫刻,ちょうこく,choukoku,engraving,"[""engraving"",""carving"",""sculpture""]","[""彫物""]",noun,3,"[""art""]"
眠ります,ねむります,nemurimasu,sleep,"[""sleep""]","[""寝る""]",verb_group_1,1,"[""action"",""intransitive""]"
彫ります,ほります,horimasu,engrave,"[""engrave"",""carve""]","[""彫刻する""]",verb_group_1,2,"[""action"",""transitive""]"
仲間,なかま,nakama,colleague,"[""colleague"",""friend"",""comrade""]","[""友達"",""同僚""]",noun,1,"[""people""]"
そのあと,そのあと,sono ato,after that,"[""after that""]","[""その後""]",conjunction,1,"[""time""]"
一生懸命,いっしょうけんめい,isshoukenmei,with all one's effort,"[""with all one's effort""]","[""懸命に""]",adverb,2,"[""description""]"
ねずみ,ねずみ,nezumi,mouse,"[""mouse"",""rat""]","[""ネズミ""]",noun,1,"[""animals""]"
一匹もいません,いっぴきもいません,ippiki mo imasen,There is not a single,"[""There is not a single \(mouse\)"",""not even one animal""]","[""誰もいない""]",phrase,2,"[""expression""]"
※眠り猫,ねむりねこ,Nemuri Neko,The Sleeping Cat,"[""The Sleeping Cat""]","[""東照宮の彫刻""]",proper_noun,2,"[""art"",""location""]"
※左甚五郎,ひだりじんごろう,Hidari Jingorou,Hidari Jingorou,"[""Hidari Jingorou"",""famous Japanese sculptor""]","[""彫刻師""]",proper_noun,3,"[""people"",""history""]"
